Animals

    un oiseau               bird
    le cheval               horse
    le chat/chatte          cat
    le canard               duck
    un éléphant             elephant
    la chienne/le chien     dog
    le lion                 lion
    le cochon               pig/pork
    la tortue               turtle
    un ours                 bear
    la mouche               fly
    la vache                cow
    le serpent              snake
    le tigre                tiger
    un dauphin              dolphin
    une abeille             bee
    une araignée            spider
    le singe                monkey/ape
    le requin               shark
