> FOOD

    la boisson          the drink
    le repas            meal

    pomme(s)            apple
    le sandwich(s)      sandwich
    la tomate           tomato
    la soupe            soup
    la viande           meat
    la fraise(s)        strawberry
    un oignon           an onion
    l'ceuf              the egg
    salade              salad
    l'eau               water
    l'alcool            alcohol
    riz                 rice         "nous avons du riz"  (we have some rice)
    le lait             milk
    le vin              wine
    la bière            the beer
    pain                bread
    le café             the coffee
    beurre              butter
    la crêpe(s)         the crepe
    le thé              the tea
    le fromange         cheese
    le poisson(s)       fish
    carotte             carrot
    le bonbon           candy
    le sel              salt
    le gâteau           cake
    le poulet           chicken
    le sucre            sugar
    le citron(s)        lemon
    le boeuf            beef
    le chocolat         chocolate
    le jus              juice
    la confiture        jam
    pâtes               pasta
    frites              fries
    les haricots        beans
    baguettes           baguettes
    légumes             vegetables
    le raisin           grapes
    huile               oil
